x,y
-79.6586,-3.1845
-79.6585,-3.1844
-79.6583,-3.1843
-79.6578,-3.1843
-79.6576,-3.1843
-79.6573,-3.1845
-79.6569,-3.1847
-79.6565,-3.1853
-79.6562,-3.1857
-79.6558,-3.1863
-79.6553,-3.1868
-79.6548,-3.1871
-79.6542,-3.1872
-79.6537,-3.1872
-79.6527,-3.1871
-79.6521,-3.1872
-79.6517,-3.1873
-79.6514,-3.1874
-79.6517,-3.1880
-79.6522,-3.1883
-79.6538,-3.1888
-79.6543,-3.1889
-79.6553,-3.1891
-79.6559,-3.1891
-79.6562,-3.1892
-79.6567,-3.1894
-79.6572,-3.1898
-79.6580,-3.1905
-79.6585,-3.1912
-79.6589,-3.1921
-79.6598,-3.1937
-79.6602,-3.1947
-79.6609,-3.1958
-79.6613,-3.1966
-79.6618,-3.1976
-79.6621,-3.1981
-79.6624,-3.1985
-79.6628,-3.1986
-79.6631,-3.1989
-79.6642,-3.2000
-79.6645,-3.2003
-79.6649,-3.2005
-79.6657,-3.2008
-79.6664,-3.2011
-79.6669,-3.2013
-79.6675,-3.2018
-79.6682,-3.2023
-79.6690,-3.2031
-79.6694,-3.2036
-79.6702,-3.2049
-79.6706,-3.2060
-79.6709,-3.2066
-79.6712,-3.2069
-79.6717,-3.2072
-79.6717,-3.2072
-79.6717,-3.2072
-79.6719,-3.2073
-79.6719,-3.2074
-79.6721,-3.2075
-79.6721,-3.2075
-79.6721,-3.2075
-79.6722,-3.2077
-79.6722,-3.2077
-79.6723,-3.2081
-79.6724,-3.2085
-79.6724,-3.2091
-79.6724,-3.2095
-79.6723,-3.2098
-79.6723,-3.2098
-79.6723,-3.2099
-79.6723,-3.2101
-79.6723,-3.2102
-79.6724,-3.2103
-79.6726,-3.2104
-79.6727,-3.2104
-79.6728,-3.2104
-79.6729,-3.2104
-79.6730,-3.2105
-79.6730,-3.2105
-79.6732,-3.2106
-79.6733,-3.2108
-79.6734,-3.2109
-79.6735,-3.2111
-79.6736,-3.2112
-79.6739,-3.2113
-79.6741,-3.2113
-79.6742,-3.2113
-79.6744,-3.2114
-79.6746,-3.2115
-79.6748,-3.2116
-79.6750,-3.2118
-79.6752,-3.2119
-79.6755,-3.2120
-79.6757,-3.2121
-79.6761,-3.2124
-79.6769,-3.2131
-79.6774,-3.2136
-79.6777,-3.2139
-79.6779,-3.2141
-79.6781,-3.2144
-79.6784,-3.2146
-79.6785,-3.2152
-79.6787,-3.2159
-79.6788,-3.2164
-79.6789,-3.2166
-79.6792,-3.2173
-79.6796,-3.2182
-79.6799,-3.2185
-79.6802,-3.2187
-79.6804,-3.2189
-79.6806,-3.2190
-79.6808,-3.2192
-79.6812,-3.2193
-79.6816,-3.2194
-79.6817,-3.2194
-79.6820,-3.2195
-79.6822,-3.2195
-79.6823,-3.2196
-79.6824,-3.2198
-79.6824,-3.2199
-79.6824,-3.2200
-79.6824,-3.2218
-79.6824,-3.2219
-79.6826,-3.2223
-79.6827,-3.2227
-79.6827,-3.2230
-79.6827,-3.2230
-79.6827,-3.2231
-79.6826,-3.2233
-79.6826,-3.2242
-79.6823,-3.2251
-79.6820,-3.2265
-79.6819,-3.2269
-79.6815,-3.2274
-79.6811,-3.2278
-79.6808,-3.2284
-79.6806,-3.2288
-79.6803,-3.2294
-79.6802,-3.2299
-79.6802,-3.2303
-79.6802,-3.2310
-79.6798,-3.2320
-79.6798,-3.2322
-79.6797,-3.2325
-79.6797,-3.2331
-79.6797,-3.2336
-79.6795,-3.2346
-79.6795,-3.2348
-79.6795,-3.2350
-79.6795,-3.2352
-79.6801,-3.2362
-79.6802,-3.2365
-79.6803,-3.2367
-79.6803,-3.2372
-79.6803,-3.2378
-79.6803,-3.2382
-79.6802,-3.2388
-79.6799,-3.2393
-79.6795,-3.2398
-79.6794,-3.2400
-79.6794,-3.2402
-79.6795,-3.2406
-79.6796,-3.2411
-79.6795,-3.2413
-79.6794,-3.2415
-79.6791,-3.2417
-79.6785,-3.2421
-79.6784,-3.2422
-79.6781,-3.2426
-79.6780,-3.2429
-79.6780,-3.2429
-79.6780,-3.2434
-79.6780,-3.2440
-79.6780,-3.2455
-79.6781,-3.2456
-79.6781,-3.2456
-79.6781,-3.2456
-79.6783,-3.2459
-79.6783,-3.2459
-79.6784,-3.2461
-79.6826,-3.2515
-79.6849,-3.2546
-79.6849,-3.2547
-79.6858,-3.2559
-79.6884,-3.2585
-79.6888,-3.2590
-79.6906,-3.2601
-79.6918,-3.2615
-79.6948,-3.2640
-79.6960,-3.2653
-79.6980,-3.2667
-79.6989,-3.2675
-79.6992,-3.2676
-79.7016,-3.2680
-79.7042,-3.2678
-79.7056,-3.2681
-79.7056,-3.2681
-79.7057,-3.2681
-79.7060,-3.2679
-79.7062,-3.2677
-79.7066,-3.2677
-79.7075,-3.2677
-79.7080,-3.2678
-79.7094,-3.2684
-79.7113,-3.2689
-79.7167,-3.2699
-79.7199,-3.2700
-79.7228,-3.2701
-79.7238,-3.2706
-79.7243,-3.2711
-79.7246,-3.2714
-79.7250,-3.2719
-79.7250,-3.2720
-79.7250,-3.2720
-79.7261,-3.2723
-79.7264,-3.2723
-79.7264,-3.2723
-79.7265,-3.2723
-79.7271,-3.2723
-79.7272,-3.2723
-79.7284,-3.2722
-79.7294,-3.2721
-79.7306,-3.2719
-79.7316,-3.2717
-79.7322,-3.2713
-79.7324,-3.2709
-79.7324,-3.2709
-79.7324,-3.2707
-79.7326,-3.2699
-79.7328,-3.2691
-79.7329,-3.2691
-79.7329,-3.2691
-79.7338,-3.2688
-79.7339,-3.2687
-79.7345,-3.2686
-79.7350,-3.2686
-79.7355,-3.2686
-79.7373,-3.2690
-79.7376,-3.2689
-79.7379,-3.2689
-79.7383,-3.2689
-79.7383,-3.2689
-79.7385,-3.2689
-79.7386,-3.2689
-79.7388,-3.2689
-79.7388,-3.2689
-79.7389,-3.2689
-79.7390,-3.2689
-79.7391,-3.2689
-79.7391,-3.2689
-79.7391,-3.2689
-79.7392,-3.2690
-79.7392,-3.2691
-79.7392,-3.2692
-79.7392,-3.2693
-79.7392,-3.2693
-79.7392,-3.2694
-79.7392,-3.2694
-79.7392,-3.2694
-79.7392,-3.2694
-79.7395,-3.2695
-79.7411,-3.2700
-79.7417,-3.2702
-79.7418,-3.2702
-79.7418,-3.2702
-79.7445,-3.2711
-79.7448,-3.2712
-79.7506,-3.2752
-79.7516,-3.2760
-79.7520,-3.2764
-79.7520,-3.2764
-79.7521,-3.2764
-79.7521,-3.2764
-79.7522,-3.2764
-79.7523,-3.2765
-79.7527,-3.2762
-79.7532,-3.2762
-79.7535,-3.2763
-79.7541,-3.2764
-79.7545,-3.2765
-79.7551,-3.2765
-79.7554,-3.2764
-79.7559,-3.2762
-79.7562,-3.2761
