x,y
629359.826,9637599.301
629339.382,9637540.108
629321.601,9637488.543
629306.396,9637444.448
629292.752,9637399.918
629266.813,9637348.34
629256.617,9637288.665
629274.492,9637195.858
629278.62,9637137.88
629280.907,9637100.046
629282.028,9637071.417
629282.737,9637053.31
629283.456,9637034.974
629309.844,9636972.75
629350.591,9636907.727
629372.404,9636867.935
629395.153,9636824.34
629427.239,9636773.565
629443.723,9636747.48
629530.632,9636665.511
629587.975,9636622.8
629628.608,9636582.018
629659.645,9636552.48
629689.207,9636503.776
629704.001,9636457.796
629708.427,9636415.263
629689.601,9636369.448
629664.699,9636336.992
629644.963,9636318.729
629591.305,9636274.568
629573.257,9636215.5
629577.184,9636175.689
629593.932,9636101.051
629603.914,9636075.097
629630.74,9636034.234
629695.804,9635988.597
629730.246,9635936.306
629785.368,9635848.341
629808.613,9635811.245
629844.815,9635750.401
629863.82,9635684.531
629867.243,9635657.553
629874.701,9635598.758
629877.229,9635564.69
629862.974,9635474.82
629846.939,9635442.031
629818.226,9635404.711
629801.959,9635378.858
629796.144,9635334.421
629800.802,9635287.532
629816.114,9635218.399
629822.55,9635189.339
629860.146,9635118.204
629885.394,9635075.338
629895.713,9635062.78
629895.576,9635062.41
629894.918,9635060.629
629894.795,9635060.298
629894.793,9635060.292
629885.162,9635034.235
629882.499,9635027.031
629878.742,9635018.459
629877.994,9635016.752
629877.262,9635015.083
629875.465,9635010.982
629872.648,9635004.554
629873.271,9635003.727
629904.268,9634962.574
629916.648,9634933.694
629922.688,9634905.954
629921.828,9634886.794
629917.838,9634869.545
629894.788,9634845.265
629812.288,9634807.635
629801.675,9634804.264
629755.139,9634789.486
629723.109,9634780.936
629700.799,9634773.156
629667.3,9634751.196
629644.86,9634729.956
629619.38,9634693.537
629593.9,9634634.667
629576.33,9634573.918
629576.92,9634518.138
629586.22,9634458.629
629620.09,9634351.439
629650.429,9634294.95
629664.296,9634279.752
629665.535,9634278.393
629668.104,9634275.577
629658.368,9634259.352
629582.699,9634196.778
629377.516,9634058.534
629018.808,9633777.68
628879.111,9633661.265
628578.612,9633406.608
628465.665,9633337.639
628444.644,9633324.804
628432.132,9633317.165
628414.174,9633306.199
628215.539,9633170.868
628182.07,9633119.784
628162.898,9633090.522
628161.815,9633088.868
628160.241,9633086.466
628145.72,9633059.764
628139.019,9633055.967
628113.635,9633003.507
628103.719,9632973.756
628102.834,9632973.96
628102.775,9632973.974
628102.734,9632973.982
628094.98,9632955.334
628092.253,9632948.812
628091.549,9632947.129
628091.475,9632946.953
628081.662,9632923.483
628011.083,9632654.273
627974.701,9632511.663
627879.387,9632105.664
627810.263,9631756.415
627789.893,9631702.571
627785.796,9631658.734
627777.523,9631570.147
627800.807,9631535.225
627851.737,9631497.39
627911.399,9631478.47
627981.251,9631450.824
628023.449,9631434.816
628077.294,9631411.533
628083.114,9631401.345
628086.025,9631364.966
628102.032,9631305.303
628109.672,9631145.435
628078.309,9631109.729
628103.099,9631000.51
628205.338,9630961.781
628298.047,9630913.521
628327.256,9630688.733
628338.686,9630636.663
628343.62,9630625.298
628344.156,9630624.063
628390.755,9630516.644
628463.084,9630318.664
628469.612,9630300.795
628471.635,9630288.6
628482.365,9630224.221
628482.365,9630148.816
628482.365,9630123.574
628482.365,9630094.052
628481.107,9630094.285
628432.665,9630103.268
628210.417,9630098.188
628109.447,9630072.788
628053.568,9630069.609
628031.348,9630077.228
627990.709,9630157.878
627955.149,9630178.828
627919.589,9630175.658
627842.75,9630132.478
627820.53,9630128.668
627785.6,9630139.458
627730.361,9630176.288
627681.091,9630181.958
627661.841,9630190.988
627652.211,9630198.728
627617.832,9630285.107
627588.122,9630331.227
627527.793,9630382.666
627447.294,9630433.386
627262.995,9630526.216
627124.577,9630608.085
627010.278,9630680.474
626895.339,9630736.354
626823.589,9630756.674
626641.341,9630786.524
626615.311,9630785.884
626585.601,9630776.394
626487.672,9630728.105
626433.583,9630710.425
626391.793,9630703.975
626363.323,9630713.035
626335.534,9630731.525
626300.354,9630774.455
626261.811,9630807.341
626260.721,9630808.271
626253.489,9630814.442
626251.95,9630814.983
626252.099,9630815.004
626252.724,9630815.094
626253.378,9630815.817
626318.134,9630887.484
626338.454,9630933.203
626369.954,9631111.722
626376.27,9631657.116
626376.28,9631657.948
626384.135,9632336.181
626415.075,9632456.71
626406.015,9632681.358
626385.675,9632678.968
626342.506,9632669.788
626166.147,9632608.919
626116.688,9632589.539
626074.818,9632575.289
625988.569,9632541.68
625937.849,9632519.75
625842.59,9632495.78
625823.56,9632481.92
625571.342,9632378.481
625581.342,9632540.64
625585.892,9632571.66
625585.202,9632588.52
625578.602,9632597.2
625346.134,9632656.489
