ID,x,y
1,617139.413,9643578.168
2,617147.11,9643573.138
3,617183.992,9643539.888
4,617226.286,9643500.929
5,617274.897,9643460.695
6,617286.92,9643434.971
7,617288.361,9643431.888
8,617305.235,9643395.228
9,617305.473,9643379.1
10,617301.662,9643340.043
11,617301.49,9643338.022
12,617296.712,9643302.305
13,617289.612,9643269.173
14,617275.059,9643232.997
15,617245.675,9643181.479
16,617226.286,9643147.487
17,617184.481,9643079.712
18,617166,9643029.867
19,617157.543,9642951.837
20,617167.615,9642871.652
21,617180.389,9642831.958
22,617190.14,9642805.508
23,617201.583,9642776.308
24,617233.178,9642724.194
25,617272.463,9642665.244
26,617282.026,9642650.893
27,617323.831,9642595.786
28,617333.187,9642583.552
29,617356.769,9642552.715
30,617393.507,9642512.81
31,617446.08,9642485.573
32,617499.286,9642469.104
33,617570.228,9642469.104
34,617628.502,9642471.638
35,617672.954,9642477.32
36,617708.279,9642483.838
37,617751.557,9642508.023
38,617790.168,9642536.875
39,617855.085,9642596.277
40,617900.485,9642630.22
41,617950.976,9642649.738
42,618005.286,9642657.375
43,618045.45,9642653.198
44,618048.644,9642652.866
45,618105.459,9642631.891
46,618133.527,9642620.537
47,618161.833,9642609.088
48,618196.682,9642595.652
49,618206.402,9642592.034
50,618229.241,9642586.582
51,618294.216,9642576.784
52,618312.989,9642574.314
53,618315.022,9642574.213
54,618366.786,9642582.275
55,618371.223,9642584.219
56,618382.606,9642589.208
57,618435.522,9642612.4
58,618498.474,9642642.701
59,618535.859,9642664.806
60,618567.161,9642683.314
61,618638.46,9642712.692
62,618692.737,9642729.619
63,618710.804,9642732.746
64,618812.797,9642725.648
65,618846.759,9642715.755
66,618849.335,9642715.005
67,618885.08,9642704.594
68,618937.431,9642702.65
69,618942.535,9642702.529
70,618993.437,9642701.331
71,619029.588,9642709.324
72,619035.475,9642712.052
73,619081.166,9642741.048
74,619102.171,9642767.092
75,619116.32,9642790.036
76,619137.996,9642825.185
77,619170.915,9642872.628
78,619208.676,9642909.421
79,619242.564,9642927.817
80,619300.658,9642936.531
81,619355.846,9642929.753
82,619423.622,9642899.739
83,619479.276,9642856.613
84,619505.274,9642841.102
85,619551.428,9642813.567
86,619615.331,9642789.361
87,619657.182,9642785.513
88,619705.863,9642785.513
89,619754.354,9642793.962
90,619766.487,9642796.696
91,619770.199,9642797.841
92,619838.022,9642824.217
93,619860.522,9642833.512
94,619902.312,9642859.764
95,619978.686,9642893.284
96,620045.724,9642897.951
97,620053.622,9642898.501
98,620097.474,9642901.554
99,620144.882,9642902.151
100,620199.17,9642899.739
101,620274.692,9642887.152
102,620331.219,9642873.252
103,620346.451,9642866.28
104,620370.546,9642854.232
105,620415.085,9642831.963
106,620457.687,9642804.853
107,620495.447,9642776.774
108,620563.223,9642760.314
109,620630.999,9642738.045
110,620691.029,9642711.903
111,620751.059,9642677.047
112,620802.005,9642635.429
113,620819.803,9642620.89
114,620841.859,9642606.066
115,620859.099,9642597.974
116,620894.82,9642585.947
117,620919.541,9642587.663
118,620935.99,9642590.875
119,620968.909,9642602.493
120,621001.59,9642617.114
121,621008.403,9642620.934
122,621021.18,9642628.099
123,621062.532,9642654.34
124,621086.34,9642669.447
125,621131.115,9642693.723
126,621163.33,9642707.415
127,621188.922,9642711.366
128,621218.478,9642715.928
129,621272.363,9642714.655
130,621318.187,9642698.532
131,621358.071,9642662.467
132,621393.333,9642630.581
133,621430.704,9642596.788
134,621458.629,9642561.909
135,621476.573,9642544.408
136,621497.56,9642526.004
137,621498.913,9642525.122
138,621537.548,9642503.78
139,621591.858,9642478.747
140,621646.592,9642462.199
141,621695.414,9642447.439
142,621769.214,9642432.074
143,621824.372,9642415.527
144,621877.833,9642382.007
145,621905.919,9642354.217
146,621918.142,9642342.124
147,621941.471,9642303.637
148,621963.362,9642267.151
149,622014.593,9642138.714
150,622049.449,9642081.588
151,622097.845,9642012.897
152,622093.535,9642000.318
153,622115.505,9641964.908
154,622172.294,9641881.489
155,622217.273,9641834.839
156,622271.213,9641783.19
157,622271.244,9641783.162
158,622326.402,9641734.09
159,622367.432,9641711.449
160,622376.292,9641706.56
161,622428.671,9641684.14
162,622483.551,9641666.83
163,622532.02,9641654.551
164,622588.12,9641642.341
165,622633.989,9641636.391
166,622613.691,9641697.763
167,622618.354,9641690.068
168,622668.716,9641676.359
169,622684.9,9641671.954
170,622745.603,9641696.235
171,622859.255,9641768.575
172,622919.822,9641795.535
173,622958.685,9641793.863
174,623001.214,9641789.184
175,623035.759,9641763.832
176,623079.435,9641707.004
177,623112.267,9641649.546
178,623127.324,9641607.888
179,623134.549,9641570.91
180,623126.187,9641499.932
181,623123.21,9641439.655
182,623148.497,9641316.431
183,623166.098,9641268.618
184,623240.637,9641180.077
185,623340.327,9641096.593
186,623452.376,9641036.752
187,623535.613,9640999.566
188,623591.902,9640973.797
189,623653.222,9640942.933
190,623715.996,9640911.338
191,623761.064,9640888.654
192,623813.393,9640862.316
193,623878.617,9640828.071
194,623968.105,9640777.244
195,624028.628,9640743.146
196,624121.931,9640683.647
197,624197.328,9640625.65
198,624263.546,9640574.713
199,624302.964,9640546.168
200,624358.659,9640510.285
201,624445.059,9640455.471
202,624502.091,9640420.103
203,624587.408,9640375.954
204,624639.942,9640346.072
205,624697.599,9640315.427
206,624773.718,9640276.27
207,624836.906,9640243.765
208,624912.372,9640173.663
209,624958.167,9640130.519
210,625012.012,9640081.187
211,625058.103,9640046.598
212,625131.269,9639991.691
213,625206.726,9639939.756
214,625254.237,9639907.628
215,625323.452,9639844.591
216,625340.007,9639829.514
217,625410.796,9639714.913
218,625434.976,9639638.346
219,625449.034,9639591.902
220,625465.948,9639509.967
221,625480.835,9639420.307
222,625487.901,9639378.854
223,625502.411,9639290.612
224,625517.382,9639241.338
225,625543.177,9639182.54
226,625589.284,9639082.916
227,625635.083,9638974.101
228,625676.649,9638870.554
229,625722.066,9638798.731
230,625772.969,9638718.234
231,625802.648,9638682.739
232,625836.242,9638653.767
233,625890.542,9638619.088
234,625949.808,9638581.237
235,626024.141,9638552.348
236,626139.449,9638510.163
237,626180.746,9638497.803
238,626317.42,9638456.897
239,626392.762,9638470.319
240,626554.785,9638483.973
241,626933.677,9638518.343
242,627110.393,9638554.478
243,627185.054,9638565.818
244,627270.606,9638584.577
245,627359.603,9638581.377
246,627392.668,9638578.927
247,627489.268,9638541.808
248,627551.504,9638500.151
249,627615.52,9638459.613
250,627666.662,9638429.22
251,627709.912,9638387.205
252,627779.661,9638311.666
253,627789.456,9638296.63
254,627854.211,9638197.225
255,627921.862,9638093.797
256,627974.551,9638019.642
257,628032.847,9637906.119
258,628186.989,9637751.976
259,628252.958,9637688.807
260,628382.9,9637606.992
261,628460.126,9637573.985
262,628501.36,9637559.336
263,628580.327,9637555.663
264,628623.199,9637553.669
265,628624.363,9637484.851
266,628625.166,9637484.921
267,628624.507,9637476.352
268,628619.73,9637414.261
269,628604.872,9637372.658
270,628590.059,9637370.129
271,628588.8,9637369.914
272,628571.132,9637371.605
273,628524.063,9637367.925
274,628519.303,9637366.721
275,628514.599,9637365.532
276,628474.433,9637355.375
277,628422.243,9637339.015
278,628381.434,9637307.385
279,628341.864,9637263.056
280,628316.284,9637221.236
281,628300.894,9637183.187
282,628250.764,9637030.978
283,628213.435,9636900.319
284,628192.785,9636839.18
285,628183.875,9636812.79
286,628110.985,9636696.201
287,628082.845,9636648.041
288,628068.726,9636609.992
289,628062.196,9636561.762
290,628060.736,9636507.173
291,628066.705,9636397.974
292,628052.555,9636351.034
293,628025.726,9636316.834
294,627991.276,9636281.385
295,627955.556,9636249.745
296,627803.817,9636128.286
297,627724.788,9636075.177
298,627675.088,9636044.847
299,627587.219,9636007.008
300,627543.959,9635998.238
301,627396.451,9635996.108
302,627295.431,9635991.128
303,627233.652,9635985.138
304,627185.292,9635975.118
305,627131.813,9635954.949
306,627087.233,9635933.489
307,627072.993,9635924.659
308,627093.383,9635875.069
309,627163.802,9635646.361
310,627181.422,9635594.262
311,627211.782,9635549.742
312,627239.651,9635520.462
313,627291.401,9635460.603
314,627288.691,9635364.164
315,627292.301,9635305.754
316,627299.646,9635253.086
317,627299.928,9635251.059
318,627300.189,9635249.187
319,627295.293,9635244.127
320,627279.126,9635227.423
321,627279.117,9635227.413
322,627258.714,9635206.331
323,627172.537,9635170.671
324,626775.822,9635011.691
325,626692.616,9634973.057
326,626497.974,9634904.711
327,626421.417,9634880.839
328,626418.627,9634879.969
329,626221.61,9634818.534
330,626184.465,9634809.619
331,626136.342,9634790.369
332,626127.684,9634786.906
333,626107.25,9634778.732
334,626089.567,9634771.659
335,626084.268,9634769.539
336,626084.549,9634769.347
337,626076.666,9634766.498
338,626076.662,9634766.496
339,626061.352,9634760.197
340,625951.192,9634711.556
341,625667.397,9634619.432
342,625511.387,9634552.571
343,625282.571,9634466.396
344,625181.535,9634423.304
345,625165.192,9634396.558
346,625150.334,9634340.1
347,625145.874,9634230.148
348,625136.782,9634041.509
349,625136.508,9634035.833
350,625134.309,9633990.197
351,625063.187,9633872.341
352,625056.921,9633866.458
353,625059.23,9633865.786
354,625095.336,9633855.273
355,625096.758,9633854.859
356,625100.042,9633853.904
357,625125.628,9633846.459
358,625430.835,9633752.94
359,625464.585,9633740.21
360,625489.204,9633492.722
361,625497.404,9633293.384
362,625468.924,9633150.005
363,625472.444,9633131.075
364,625524.453,9633031.776
365,625561.483,9632940.297
366,625560.803,9632929.757
367,625550.613,9632913.427
368,625543.158,9632906.16
369,625524.103,9632887.587
370,625322.425,9632747.709
371,625316.923,9632741.513
372,625307.845,9632731.289
373,625304.625,9632713.719
374,625309.295,9632691.699
375,625326.075,9632666.679
376,625346.134,9632656.489
377,625578.602,9632597.2
378,625585.202,9632588.52
379,625585.892,9632571.66
380,625581.342,9632540.64
381,625571.342,9632378.481
382,625823.56,9632481.92
383,625842.59,9632495.78
384,625937.849,9632519.75
385,625988.569,9632541.68
386,626074.818,9632575.289
387,626116.688,9632589.539
388,626166.147,9632608.919
389,626342.506,9632669.788
390,626385.675,9632678.968
391,626406.015,9632681.358
392,626415.075,9632456.71
393,626384.135,9632336.181
394,626376.28,9631657.948
395,626376.27,9631657.116
396,626369.954,9631111.722
397,626338.454,9630933.203
398,626318.134,9630887.484
399,626253.378,9630815.817
400,626252.724,9630815.094
401,626252.512,9630815.176
402,626252.169,9630815.308
403,626220.775,9630827.374
404,626132.715,9630837.954
405,625998.294,9630847.571
406,625997.221,9630847.648
407,625997.205,9630847.649
408,625986.787,9630848.394
409,625812.038,9630897.014
410,625766.319,9630900.184
411,625719.359,9630896.574
412,625695.839,9630883.044
413,625688.616,9630875.59
414,625676.149,9630862.724
415,625610.111,9630763.493
416,625610.08,9630763.445
417,625599.002,9630746.802
418,625575.09,9630710.877
419,625574.583,9630710.117
420,625544.71,9630665.236
421,625511.051,9630625.867
422,625507.658,9630623.216
423,625470.411,9630594.117
424,625469.077,9630591.376
425,625458.981,9630570.627
426,625450.731,9630514.748
427,625443.241,9630503.767
428,625437.941,9630495.998
429,625418.531,9630477.358
