x,y
617139.413,9643578.168
617147.11,9643573.138
617183.992,9643539.888
617226.286,9643500.929
617274.897,9643460.695
617286.92,9643434.971
617288.361,9643431.888
617305.235,9643395.228
617305.473,9643379.1
617301.662,9643340.043
617301.49,9643338.022
617296.712,9643302.305
617289.612,9643269.173
617275.059,9643232.997
617245.675,9643181.479
617226.286,9643147.487
617184.481,9643079.712
617166,9643029.867
617157.543,9642951.837
617167.615,9642871.652
617180.389,9642831.958
617190.14,9642805.508
617201.583,9642776.308
617233.178,9642724.194
617272.463,9642665.244
617282.026,9642650.893
617323.831,9642595.786
617333.187,9642583.552
617356.769,9642552.715
617393.507,9642512.81
617446.08,9642485.573
617499.286,9642469.104
617570.228,9642469.104
617628.502,9642471.638
617672.954,9642477.32
617708.279,9642483.838
617751.557,9642508.023
617790.168,9642536.875
617855.085,9642596.277
617900.485,9642630.22
617950.976,9642649.738
618005.286,9642657.375
618045.45,9642653.198
618048.644,9642652.866
618105.459,9642631.891
618133.527,9642620.537
618161.833,9642609.088
618196.682,9642595.652
618206.402,9642592.034
618229.241,9642586.582
618294.216,9642576.784
618312.989,9642574.314
618315.022,9642574.213
618366.786,9642582.275
618371.223,9642584.219
618382.606,9642589.208
618435.522,9642612.4
618498.474,9642642.701
618535.859,9642664.806
618567.161,9642683.314
618638.46,9642712.692
618692.737,9642729.619
618710.804,9642732.746
618812.797,9642725.648
618846.759,9642715.755
618849.335,9642715.005
618885.08,9642704.594
618937.431,9642702.65
618942.535,9642702.529
618993.437,9642701.331
619029.588,9642709.324
619035.475,9642712.052
619081.166,9642741.048
619102.171,9642767.092
619116.32,9642790.036
619137.996,9642825.185
619170.915,9642872.628
619208.676,9642909.421
619242.564,9642927.817
619300.658,9642936.531
619355.846,9642929.753
619423.622,9642899.739
619479.276,9642856.613
619505.274,9642841.102
619551.428,9642813.567
619615.331,9642789.361
619657.182,9642785.513
619705.863,9642785.513
619754.354,9642793.962
619766.487,9642796.696
619770.199,9642797.841
619838.022,9642824.217
619860.522,9642833.512
619902.312,9642859.764
619978.686,9642893.284
620045.724,9642897.951
620053.622,9642898.501
620097.474,9642901.554
620144.882,9642902.151
