x,y
631477.285,9633924.805
631570.654,9633897.288
631670.608,9633925.981
631674.428,9633925.085
631682.278,9633923.243
631731.756,9633911.635
631749.96,9633911.022
631801.606,9633909.283
631803.054,9633909.353
631806.943,9633909.542
631828.335,9633910.582
631869.34,9633912.575
631878.107,9633916.233
631904.853,9633927.392
631910.907,9633931.036
631933.092,9633944.388
632006.453,9633988.54
632016.704,9633996.941
632074.186,9634044.044
632086.432,9634054.079
632109.05,9634072.613
632132.831,9634092.1
632142.713,9634100.198
632154.359,9634107.492
632171.783,9634118.405
632231.712,9634155.941
632231.715,9634155.943
632270.096,9634179.982
632329.598,9634207.263
632383.667,9634232.054
632403.988,9634241.371
632457.207,9634265.772
632483.829,9634277.978
632525.605,9634276.244
632558.526,9634266.054
632589.478,9634251.008
632608.517,9634233.955
632646.415,9634200.012
632670.617,9634178.335
632727.293,9634148.137
632792.443,9634113.424
632793.261,9634112.712
632795.758,9634110.539
632803.796,9634103.544
632806.808,9634100.923
632884.284,9634033.496
632892.162,9634026.64
632923.959,9633970.03
632941.577,9633938.663
632943.444,9633933.826
632945.185,9633927.956
632969.969,9633844.43
633000.696,9633740.872
633000.135,9633733.337
633000.117,9633733.097
632998.744,9633714.647
632996.317,9633682.049
632995.865,9633681.751
632995.578,9633681.561
632995.578,9633672.119
632995.578,9633647.94
632995.578,9633639.513
633020.53,9633581.749
633034.581,9633549.219
633036.886,9633543.884
633040.072,9633536.508
633066.43,9633513.897
633096.757,9633487.881
633097.394,9633487.334
633144.719,9633454.207
633186.245,9633425.139
633192.864,9633422.246
633197.952,9633420.022
633213.362,9633413.287
633250.176,9633397.06
633270.106,9633388.276
633353.184,9633349.678
633398.86,9633338.416
633435.827,9633331.844
633438.28,9633331.408
633482.127,9633325.203
633486.026,9633324.652
633509.421,9633321.341
633510.633,9633321.17
633511.542,9633321.041
633524.607,9633319.193
633582.227,9633314.076
633622.609,9633317.094
633632.321,9633317.821
633741.243,9633341.291
633793.392,9633336.212
633839.074,9633331.762
633913.528,9633337.992
633973.448,9633349.56
634027.732,9633380.113
634078.159,9633448.339
634186.43,9633496.096
634279.572,9633548.007
634331.186,9633563.432
634398.225,9633556.906
634448.356,9633538.515
634555.44,9633516.564
634612.097,9633513.301
634681.508,9633506.182
634753.59,9633502.326
634811.136,9633495.503
634878.175,9633460.797
634949.664,9633461.39
634994.455,9633468.213
635053.485,9633511.521
635177.282,9633571.228
635241.522,9633583.408
635287.24,9633602.763
635355.15,9633611.607
635414.071,9633606.011
635480.292,9633584.076
635533.686,9633566.389
635583.075,9633540.026
635635.134,9633494.14
635709.592,9633398.609
635783.468,9633353.815
635865.06,9633334.293
635923.126,9633342.135
635999.713,9633391.191
636041.927,9633429.234
636092.818,9633464.44
636114.176,9633476.12
636148.882,9633471.281
636190.595,9633450.091
636265.18,9633387.186
636353.947,9633300.755
636413.348,9633233.846
636490.602,9633156.926
636576.699,9633109.372
636635.265,9633095.022
636682.152,9633107.536
636781.931,9633150.084
636858.852,9633180.953
636881.711,9633199.641
636920.922,9633217.16
636957.63,9633230.175
637042.726,9633232.678
637080.436,9633225.67
637158.524,9633198.473
637195.399,9633180.786
637228.103,9633141.074
637293.677,9633069.827
637312.698,9633003.585
637327.715,9632942.349
637342.232,9632876.775
637353.244,9632836.563
637376.104,9632790.344
637407.806,9632738.786
637430.165,9632707.083
637472.212,9632632.165
637495.071,9632602.965
637524.66,9632589.926
637592.355,9632599.16
637596.52,9632601.13
637661.927,9632618.316
637683.118,9632621.153
