x,$y
633635.503,9621971.294
633653.468,9621946.874
633752.401,9621812.394
633777.573,9621778.177
633908.305,9621493.389
633932.551,9621440.571
634019.384,9621255.781
634062.602,9621163.809
634093.041,9621082.862
634072.511,9621062.597
634053.144,9621043.479
634089.03,9620941.341
634090.304,9620937.714
634158.909,9620786.212
634207.503,9620689.023
634238.947,9620634.711
634247.233,9620619.884
634268.715,9620597.216
634308.625,9620523.078
634326.673,9620476.369
634364.911,9620377.408
634372.005,9620353.84
634411.205,9620290.952
634463.632,9620248.385
634527.482,9620203.053
634578.586,9620161.688
634632.576,9620090.383
634676.345,9620040.001
634709.292,9620029.659
634776.629,9619990.339
634835.309,9619931.299
634929.219,9619820
634970.769,9619781.543
634987.877,9619768.582
635037.066,9619730.87
635072.911,9619710.336
635145.539,9619668.732
635226.778,9619625.969
635236.685,9619620.754
635291.036,9619594.06
635310.996,9619581.073
635314.523,9619578.356
635326.301,9619569.282
635327.229,9619541.032
635313.012,9619520.54
635301.617,9619504.116
635277.688,9619476.941
635260.904,9619456.132
635251.114,9619443.994
635231.995,9619432.811
635192.675,9619432.09
635159.367,9619439.785
635148.057,9619444.982
635123.775,9619456.139
635108.263,9619465.037
635084.936,9619480.669
635061.007,9619488.364
635025.415,9619487.282
634999.378,9619477.785
634996.075,9619476.58
634987.403,9619469.336
634976.355,9619460.107
634965.893,9619445.317
634963.128,9619421.989
634966.976,9619394.814
634980.563,9619352.247
634993.61,9619332.036
635010.402,9619306.022
635019.852,9619294.755
635070.774,9619234.04
635159.388,9619154.001
635230.851,9619091.114
635319.465,9619079.68
635402.362,9619068.246
635545.288,9619036.802
635606.283,9619014.893
635640.786,9618990.584
635669.341,9618966.441
635694.352,9618936.019
635695.765,9618934.767
635708.984,9618918.61
635732.662,9618902.099
635762.202,9618875.945
635812.913,9618820.824
635859.929,9618769.72
635936.525,9618720.9
635962.874,9618708.461
636005.667,9618687.468
636052.682,9618656.93
636121.861,9618602.782
636160.301,9618558.57
636202.747,9618509.75
636240.264,9618457.564
636242.275,9618455.556
636291.924,9618405.989
636343.915,9618368.823
636377.304,9618344.955
636436.263,9618302.809
636465.715,9618285.633
636510.053,9618253.621
636585.795,9618180.447
636627.733,9618127.724
636644.888,9618081.077
636654.66,9618054.507
636669.239,9617971.193
636684.792,9617925.207
636693.784,9617898.618
636727.975,9617791.812
636739.16,9617771.807
636768.38,9617728.158
636796.036,9617696.534
636801.277,9617691.587
636843.052,9617663.226
636903.621,9617622.105
636936.843,9617611.641
636960.855,9617604.078
636991.434,9617594.446
637059.733,9617578.213
637075.102,9617572.518
637118.548,9617537.263
637153.744,9617502.066
637188.941,9617447.671
637204.939,9617394.876
637212.939,9617343.681
637199.966,9617261.638
637187.079,9617227.32
637166.525,9617192.085
637171.419,9617155.871
637189.02,9617129.926
637198.307,9617116.238
637208.433,9617101.312
637233.08,9617042.336
637260.485,9616976.76
637288.868,9616937.61
637331.661,9616903.507
637366.189,9616834.841
637373.041,9616762.414
637350.535,9616651.464
637358.29,9616623.792
637367.168,9616592.112
637380.109,9616545.935
637372.062,9616495.216
637362.56,9616435.326
637351.508,9616412.022
637335.179,9616369.367
637315.295,9616345.467
637294.13,9616320.03
637268.315,9616258.359
637250.697,9616216.272
637230.973,9616123.78
637204.696,9616077.29
637179.249,9616032.268
637180.227,9616004.863
637190.232,9615977.31
637184.591,9615969.281
637135.285,9615899.101
637135.26,9615899.066
637107.941,9615860.182
637090.162,9615839.232
637047.862,9615805.902
637024.752,9615823.352
636984.112,9615827.162
636961.893,9615839.862
636900.933,9615927.492
636871.724,9615956.701
636859.024,9615961.151
636835.884,9615963.641
636815.004,9615961.191
636732.655,9615944.002
636598.676,9615937.022
636510.407,9615951.622
636382.138,9616002.421
636328.798,9616044.331
636256.409,9616128.791
636200.53,9616166.89
636145.29,9616215.78
636082.421,9616262.77
635977.012,9616327.539
635856.363,9616384.689
635820.203,9616390.739
635799.854,9616384.689
635720.644,9616330.129
635705.234,9616322.46
635675.395,9616294.52
635654.435,9616177.051
635614.435,9616103.392
635575.065,9616067.192
635529.975,9616060.212
635503.946,9616044.972
635385.837,9615935.753
635345.197,9615881.774
635245.498,9615693.186
635154.058,9615287.419
635077.858,9615136.931
635043.569,9615094.381
635021.979,9615077.871
634954.039,9614990.882
634882.28,9614938.813
634854.98,9614881.663
634839.74,9614865.154
634833.477,9614855.56
634815.228,9614827.605
634675.59,9614613.698
634663.78,9614598.232
634644.31,9614544.558
634633.263,9614514.105
634575.012,9614377.043
634333.644,9614149.51
634312.694,9614154.59
634289.834,9614171.74
634265.064,9614202.85
634249.824,9614239.05
634232.045,9614329.219
634192.675,9614265.72
634047.266,9614449.228
633981.857,9614508.288
633870.738,9614585.117
633810.2,9614641.808
633741.843,9614720.983
633648.054,9614876.176
633573.984,9614975.903
633534.252,9615012.656
633522.906,9615023.153
633522.897,9615023.243
633448.462,9615015.644
633298.604,9615028.344
633238.052,9615028.344
633166.114,9615028.344
633106.745,9615044.874
632918.402,9614991.207
632861.518,9614973.676
632634.509,9614915.469
632579.292,9614916.181
632577.537,9614916.204
632521.73,9614916.923
632514.745,9614918.487
632513.279,9614918.815
632424.233,9614938.751
632306.36,9614988.23
632272.62,9615025.094
632258.868,9615027.193
632249.546,9615034.62
632173.188,9615095.447
632128.226,9615127.312
632127.206,9615128.035
631904.066,9615286.173
631913.412,9615343.181
631913.753,9615345.258
631915.603,9615356.547
631915.855,9615358.084
631918.749,9615375.736
631918.792,9615375.998
631919.335,9615379.309
631926.364,9615385.634
631956.246,9615412.525
631982.074,9615446.962
631991.007,9615462.022
631991.299,9615462.515
632007.182,9615489.292
632013.492,9615663.916
632017.97,9615679.591
632018.02,9615679.766
632089.563,9615930.166
632089.587,9615930.25
632125.325,9616055.332
632155.86,9616153.041
632189.905,9616235.475
632188.171,9616249.962
632185.877,9616248.303
632187.467,9616251.792
632192.078,9616261.915
632214.675,9616320.564
632252.775,9616498.992
632283.255,9616599.321
632293.415,9616680.601
632298.495,9616856.499
632291.505,9616939.678
632272.455,9617044.457
632212.766,9617257.176
632189.906,9617383.545
632137.207,9617538.483
632099.108,9617602.613
632038.148,9617676.272
631982.899,9617715.642
631977.637,9617717.64
631964.273,9617722.714
631914.319,9617741.682
631870.51,9617765.812
631792.4,9617821.691
631775.261,9617842.641
631759.381,9617890.271
631749.221,9617936.62
631693.982,9618077.589
631655.882,9618211.578
631654.612,9618360.167
631601.273,9618565.905
631449.505,9618915.782
631436.175,9618936.742
631316.796,9619031.351
631277.427,9619106.281
631217.097,9619183.12
631186.618,9619299.959
631111.688,9619384.408
631095.819,9619498.077
631096.449,9619558.397
631078.909,9619629.206
631071.809,9619646.526
631056.449,9619699.366
631053.269,9619774.295
631122.489,9619871.454
631131.379,9619918.444
631108.44,9620041.588
631103.147,9620070.004
631090.099,9620140.052
631034.86,9620339.44
631035.49,9620365.48
631056.45,9620444.219
631028.511,9620568.678
631030.411,9620699.487
631014.541,9620840.456
630998.661,9620893.155
630974.531,9620929.355
630880.552,9621004.914
630858.333,9621039.204
630850.713,9621111.593
630889.443,9621215.102
630878.653,9621262.722
630856.423,9621297.012
630828.483,9621324.322
630806.893,9621373.211
630804.354,9621398.611
630815.783,9621467.19
630808.804,9621503.39
630798.004,9621524.34
630754.194,9621562.44
630624.905,9621633.249
630576.396,9621673.569
630508.077,9621892.547
630429.963,9621923.18
630401.101,9621934.499
630312.368,9621969.297
630109.67,9622111.226
630130.63,9622155.035
630098.881,9622224.885
630007.442,9622261.714
629924.892,9622315.054
629879.803,9622335.374
629867.103,9622334.104
629779.473,9622287.114
629732.484,9622275.685
629708.994,9622283.945
629655.655,9622325.214
629654.385,9622327.854
629637.092,9622363.799
629636.632,9622364.756
629575.005,9622492.853
629480.397,9622628.112
629405.467,9622707.481
629277.969,9622793.051
629269.999,9622804.401
629234.448,9622974.302
629234.041,9622976.248
629221.319,9623037.049
629172.42,9623111.338
629160.99,9623146.898
629166.07,9623183.727
629178.14,9623204.047
629229.57,9623257.387
629285.449,9623294.856
629324.189,9623330.416
629382.608,9623429.475
629399.118,9623494.244
629405.468,9623576.154
629402.928,9623598.383
629373.079,9623669.503
629324.819,9623729.822
629287.99,9623750.142
629230.21,9623762.842
629180.04,9623764.752
629154.641,9623758.402
629126.071,9623737.442
629051.772,9623646.003
629006.052,9623618.704
628980.652,9623612.354
628947.002,9623614.254
628834.603,9623679.663
628819.109,9623691.218
628818.717,9623691.511
628817.585,9623692.355
628759.674,9623735.543
628693.005,9623771.103
628608.546,9623834.602
628517.746,9623876.512
628428.207,9623900.002
628401.537,9623900.002
628396.396,9623900.774
628338.038,9623909.532
628291.688,9623924.772
628260.569,9623947.632
628245.969,9623968.582
628235.809,9623990.811
628231.999,9624023.191
628247.239,9624105.74
628248.509,9624152.73
628235.169,9624200.99
628220.569,9624221.949
628151.99,9624242.269
628078.961,9624221.31
628032.611,9624220.68
627961.492,9624244.17
627891.642,9624291.159
627757.654,9624367.359
627705.584,9624449.278
627586.471,9624419.302
627584.997,9624418.931
627511.276,9624400.379
627439.526,9624391.489
627414.757,9624396.569
627342.367,9624433.399
627306.478,9624474.948
627285.398,9624492.248
627264.898,9624500.078
627254.108,9624494.358
627249.818,9624470.008
627250.928,9624417.529
627245.218,9624390.219
627227.038,9624369.899
627192.769,9624364.959
627175.639,9624368.659
627094.719,9624407.999
627078.12,9624425.509
627075.67,9624445.469
627089.98,9624486.068
627088.66,9624503.368
627065.17,9624532.088
626944.231,9624602.948
626920.731,9624631.517
626913.751,9624658.187
626866.762,9624664.537
626833.742,9624684.857
626808.342,9624692.477
626757.543,9624672.157
626732.143,9624669.617
626695.943,9624687.397
626661.264,9624717.897
626640.704,9624719.787
626619.744,9624704.547
626593.714,9624671.527
626492.115,9624592.788
626466.715,9624559.129
626422.895,9624475.309
626378.336,9624440.97
626311.646,9624414.17
626257.574,9624401.412
626199.377,9624387.68
626150.488,9624366.091
626065.398,9624315.291
625919.169,9624260.522
625832.32,9624194.602
625774.571,9624086.063
625754.881,9624067.014
625679.321,9624032.084
625599.942,9623981.925
625507.233,9623874.606
625485.643,9623793.966
625486.197,9623717.414
625486.208,9623715.937
625487.552,9623530.439
625457.072,9623411.06
625485.012,9623311.371
625485.642,9623274.541
625466.592,9623221.201
625423.413,9623169.132
625394.203,9623147.542
625388.493,9623136.742
625336.423,9623103.092
625248.154,9623063.723
625163.705,9623049.753
625041.146,9623049.113
624994.796,9623028.794
624917.957,9622973.554
624868.427,9622947.515
624811.277,9622933.545
624659.869,9622941.165
624581.13,9622931.005
624264.272,9622784.327
624196.323,9622760.827
624152.513,9622755.117
624075.674,9622701.778
624070.594,9622689.708
624011.544,9622631.288
623988.044,9622621.768
623941.695,9622623.038
623870.575,9622593.829
623835.646,9622551.279
623768.336,9622442.7
623744.846,9622424.92
623721.346,9622416.66
623687.057,9622414.121
623628.007,9622437.62
623594.348,9622464.29
623558.788,9622509.37
623525.768,9622536.68
623504.179,9622567.789
623484.499,9622584.299
623432.429,9622612.879
623397.5,9622616.689
623327.02,9622584.939
623304.16,9622581.76
623260.341,9622604.619
623241.291,9622622.399
623175.252,9622711.939
623123.182,9622769.088
623049.523,9622816.708
623024.763,9622819.888
622978.403,9622791.948
622933.954,9622779.878
622885.064,9622781.788
622837.435,9622792.578
622752.985,9622795.758
622736.476,9622813.538
622711.706,9622910.057
622681.866,9622937.357
622607.567,9622976.727
622526.288,9623005.937
622405.639,9623029.437
622329.439,9623051.657
622316.109,9623045.307
622235.46,9623045.947
622181.491,9623024.987
622117.351,9622972.917
622064.651,9622897.988
622047.502,9622886.558
622004.962,9622833.219
621992.892,9622828.139
621968.762,9622835.129
621898.283,9622881.479
621862.723,9622873.229
621852.563,9622865.609
621846.213,9622844.019
621848.113,9622821.789
621867.163,9622788.139
621867.199,9622787.453
621867.25,9622786.491
621867.803,9622776.069
621862.083,9622732.89
621850.023,9622700.51
621850.653,9622670.66
621872.243,9622655.421
621947.172,9622652.25
621959.872,9622644.631
621965.592,9622632.561
621983.372,9622375.393
621971.302,9622348.723
621902.092,9622289.034
621843.033,9622210.294
621782.713,9622165.205
621775.869,9622155.342
621767.176,9622142.813
621739.533,9622102.976
621647.137,9622069.734
621617.716,9622060.87
621584.467,9622035.01
621571.537,9621992.526
621575.232,9621929.724
621562.302,9621905.711
